barcode;dateaccessioned;booksellerid;homebranch;price;replacementprice;itemcallnumber;holdingbranch;title;author;isbn
7230;2024-04-22;;FING;;;32;FING;"Chaos :";"Alligood, Kathleen T.";0387946772
7231;2024-04-22;;FING;;;32;FING;"Analysis of observed chaotic data /";"Abarbanel, H. D. I";0387983724
7229;2024-02-26;;FING;;;50;FING;"Proactive innovation :";"Richter, Sergio Raúl";9798861825221
L578;2023-11-08;;FING;;;80;FING;"GMP qualification and validation of facilities manufacturing active pharmaceutical ingredients :";;
7222;2023-10-02;;FING;;;49;FING;"Introducción a la economía de la salud para ingenieros biomédicos /";"Martínez Licona, Fabiola Margarita";9786072813410
7216;2023-09-14;;FING;;;61;FING;"Masculinidades sin violencia /";;9789874799937
7217;2023-09-14;;FING;;;61;FING;"Diversidad :";;9789874799982
7218;2023-09-14;;FING;;;61;FING;"Ley Micaela :";;9789874776518
7219;2023-09-14;;FING;;;61;FING;"RUGE, el género en las universidades / ";;9789874776532
7220;2023-09-14;;FING;;;61;FING;"Diagnóstico sobre la implementación de políticas de género en el sistema universitario argentino :";;
7203;2023-08-08;;FING;2213.00;;89;FING;"Guerra biológica y bioterrorismo /";"Lema, Pablo";9789871220687
7204;2023-08-08;;FING;2213.00;;89;FING;"La tablet de Arquímedes /";"Carman, Christián Carlos";9789876298728
7202;2022-12-22;;FING;;;83;FING;"El hombre en busca de sentido /";"Frankl, Viktor E.";9788425423314
7194;2022-10-24;;FING;5817.00;;20;FING;"Ciencia de los datos :";"Jones, Herbert";9781647481445
7181;2022-09-01;;FING;8494.00;;50;FING;"Guía práctica de Ágil";;9781628254143
7182;2022-09-01;;FING;;;50;FING;"Guía práctica de Ágil";;9781628254143
7184;2022-09-01;;FING;7890.00;;31;FING;"Electrónica digital :";;"847897735X | 9788478977352 (ISBN 13)"
7174;2022-08-19;;FING;;;50;FING;"Calidad estratégica total :";"Rico, Rubén Roberto";9505371934
7165;2022-08-10;;FING;7980.00;;20;FING;"Grokking algorithms :";"Bhargava, Aditya Y.";9781617292231
7150;2022-08-03;;FING;10400.00;;24;FING;"Data science from Scratch :";"Grus, Joel";9781492041139
7147;2022-07-08;;FING;;;5;FING;"La célula /";"Cooper, Geoffrey M.";9788416042630
7146;2022-04-27;;FING;;;22;FING;"Introduction to algorithms /";;9780262046305
7142;2022-04-11;;FING;;;24;FING;"El lenguaje unificado de modelado :";"Booch, Grady";9788478290765
7144;2022-04-11;;FING;;;24;FING;"Intro to Python® :";"Deitel, Paul J.";9780135404676
7140;2022-03-21;;FING;;;54;FING;"Nuestras universidades públicas argentinas frente a la pandemia COVID-19 /";;9789878352244
7137;2021-12-22;;FING;;;50;FING;"Sistemas de programación por camino crítico :";"Zaderenko, Sergio Gregory";
7138;2021-12-22;;FING;;;12;FING;"Elementos de fisiología humana /";"Coviello, Alfredo";9506550212
7128;2021-12-10;;FING;1750.00;;61;FING;"La promesa de la felicidad :";"Ahmed, Sara,";9789871622719
7129;2021-12-10;;FING;2300.00;;61;FING;"Mujeres en la ciencia contemporánea :";;9788498888195
7130;2021-12-10;;FING;1100.00;;61;FING;"Educación sexual integral con perspectiva de género :";;9789508089007
7131;2021-12-10;;FING;1200.00;;61;FING;"Contra-pedagogías de la crueldad /";"Segato, Rita";9789878451114
7132;2021-12-10;;FING;1350.00;;61;FING;"Sexualidades migrantes :";;9789872055578
7133;2021-12-10;;FING;;;91;FING;"La divina comedia /";"Alighieri, Dante";9788415089551
7119;2021-10-25;;FING;;;89;FING;"Fontanarrosa y los médicos";"Fontanarrosa, R.";950515600X
7120;2021-10-25;;FING;;;5;FING;"Ecología :";"Fuentes Quezada, Eduardo";9561402229
7121;2021-10-25;;FING;;;38;FING;"Técnicas de prevención en la generación de suelos contaminados :";;"8489650721 | 8489650802"
7122;2021-10-25;;FING;;;38;FING;"Técnicas de prevención en la generación de suelos contaminados :";;"848965073X | 8489650802"
7123;2021-10-25;;FING;;;89;FING;"Guerra biológica y bioterrorismo /";"Lema, Pablo";9789871220687
7124;2021-10-25;;FING;;;89;FING;"Miedo a la Física :";"Krauss, Lawrence M.,";9561313340
7127;2021-10-25;;FING;;;26;FING;"Química analítica /";"Higson, Séamus";9789701061527
7134;2021-10-25;;FING;;;45;FING;"Elementos de física nuclear :";"Bosch, Horacio E.";
7135;2021-10-25;;FING;;;59;FING;"El pensamiento científico /";"Geymonat, Ludovico";950230563X
7136;2021-10-25;;FING;;;59;FING;"Pensamiento científico :";;
7117;2021-10-05;;FING;3186.00;;51;FING;"Data mining =";"Daza Vergaray, Alfredo";9788426724588
7110;2021-08-23;;FING;8500.00;;4;FING;"Prometheus Atlas de anatomía /";"Gilroy, Anne M.";9788498357080
7108;2021-08-19;;FING;8500.00;;34;FING;"Mecánica vectorial para ingenieros :";"Beer, Ferdinand P.";9781456255275
7106;2021-08-12;;FING;15500.00;;35;FING;"Mecánica de fluidos :";"Çengel, Yunus A.";9781456260941
7085;2021-07-29;;FING;3497.00;;50;FING;"Fundamentos de administración financiera /";"Brigham, Eugene F.,";9786075269368
7079;2021-07-26;;FING;531.00;;89;FING;"Matemática...¿estás ahí? :";"Paenza, Adrián";9789876291224
7067;2021-06-30;;FING;423.00;;89;FING;"Historias del inframundo biológico :";"Wall, Luis Gabriel";9789876299947
7068;2021-06-30;;FING;661.00;;89;FING;"Big data :";"Sosa Escudero, Walter";9789876298995
7061;2021-06-28;;FING;4626.00;;4;FING;"Anatomía humana :";"Latarjet, Michel";9789500695886
7062;2021-06-28;;FING;4626.00;;4;FING;"Anatomía humana :";"Latarjet, Michel";9789500695879
7072;2021-06-28;;FING;5828.50;;81;FING;"Transporte, operadores, redes /";"Mauleón Torres, Mikel";9788499696379
7060;2021-05-19;;FING;6100.00;;12;FING;"Fisiología del deporte y el ejercicio /";"Kenney, W. Larry";9780736087728
7055;2021-05-18;;FING;;;38;FING;"Bioseguridad, bioingenieria y residuos de establecimientos de salud :";"Favant, José Luis";9789506982072
7053;2021-04-29;;FING;0.00;;12;FING;"PhysioEx® 9.0 :";"Zao, Peter";
7052;2021-04-26;;FING;200.00;;59;FING;"Breve manual de lectura y escritura para la universidad /";"Clérici, Carolina";9789506984762
7040;2020-02-19;;FING;3255.00;;17;FING;"Cálculo :";"Rogawski, Jon";9788429151947
7041;2020-02-19;;FING;3255.00;;17;FING;"Cálculo :";"Rogawski, Jon";9788429151947
7043;2020-02-19;;FING;2310.00;;51;FING;"Data mining =";"Daza Vergaray, Alfredo";9788426724588
7038;2020-02-17;;FING;;;90;FING;"El hombre mediocre /";"Ingenieros, José,";9789874560360
7032;2020-02-12;;FING;6900.00;;33;FING;"Termodinámica /";"Çengel, Yunus A.";9781456269784
7033;2020-02-12;;FING;6900.00;;33;FING;"Termodinámica /";"Çengel, Yunus A.";9781456269784
7030;2020-02-11;;FING;;;47;FING;"Tratamiento digital de imágenes / ";"Gonzalez, Rafael C.";0201625768
7015;2019-12-18;;FING;1300.00;;15;FING;"Física :";"Serway, Raymond A.";9786075266701
7017;2019-12-18;;FING;1300.00;;11;FING;"Física :";"Serway, Raymond A.";9786075266695
7010;2019-12-17;;FING;1600.00;;8;FING;"Química /";;9786075199597
7012;2019-12-17;;FING;2681.41;;6;FING;"Química /";"Chang, Raymond";9786071513939
7006;2019-12-16;;FING;346.00;;81;FING;"Unidades de carga en el transporte /";"Soler, David";9786076226131
7003;2019-12-02;;FING;;;54;FING;"La universidad y la importancia de la calidad de vida /";;9789874073884
6999;2019-11-11;;FING;326.00;;89;FING;"Científicas :";"Edelsztein, Valeria Carolina";9789876292412
7000;2019-11-11;;FING;292.00;;89;FING;"Un científico en el museo de arte moderno";"Plata Rosas, Luis Javier";9789876291972
