barcode;dateaccessioned;booksellerid;homebranch;price;replacementprice;itemcallnumber;holdingbranch;title;author;isbn
7232;2024-04-24;;FING;;;32;FING;"Chaotic evolution and strange attractors :";"Ruelle, David.";"0521368308 (pbk.)"
7233;2024-04-24;;FING;;;32;FING;"Chaotic and fractal dynamics :";"Moon, F. C.,";0471545716
7228;2023-10-11;;FING;;;89;FING;"Científicas de acá :";;9786319002416
7224;2023-10-09;;FING;18500.00;;15;FING;"Óptica /";"Hecht, Eugene";9788490354926
7225;2023-10-09;;FING;17500.00;;15;FING;"Sears y Zemansky Física universitaria :";"Young, Hugh D.";9786073221900
7223;2023-10-09;;FING;26500.00;;50;FING;"¡Elija su WoW!  :";;9781628257663
7226;2023-10-09;;FING;42700.00;;81;FING;"Ingeniería de tráfico /";"Valdés González-Roldán, Antonio";9788496486775
7227;2023-10-09;;FING;24500.00;;81;FING;"Libro verde de urbanismo y la movilidad /";;9788438003862
7221;2023-10-02;;FING;;;49;FING;"Introducción a la economía de la salud para ingenieros biomédicos /";"Martínez Licona, Fabiola Margarita";9786072813410
7215;2023-08-30;;FING;3400.00;;81;FING;"Transporte urbano y movilidad :";"Vasconcellos, Eduardo A.";9789871435821
7212;2023-08-29;;FING;31420.00;;20;FING;"Arquitectura limpia :";"Martin, Robert C.";9788441539907
7213;2023-08-29;;FING;30450.00;;20;FING;"La artesanía del código limpio :";"Martin, Robert C.";9788441544994
7214;2023-08-29;;FING;21800.00;;5;FING;"La célula. Handbook /";"Cooper, Geoffrey M.";9788418068904
7209;2023-08-28;;FING;60325.00;;24;FING;"Object-oriented analysis and design with applications/";;9788131722879
7210;2023-08-28;;FING;37100.00;;20;FING;"Fundamentals of software architecture :";"Richards, Mark";9781492043454
7211;2023-08-28;;FING;25000.00;;24;FING;"Python a fondo /";"Ramírez Jiménez, Óscar";9786075387437
7207;2023-08-10;;FING;7451.00;;53;FING;"Machine learning con Pytorch y Scikit-Learn :";"Raschka, Sebastian";9788426735737
7208;2023-08-10;;FING;14019.00;;18;FING;"Organización y arquitectura de computadores /";"Stallings, William";9788489660823
7205;2023-08-09;;FING;5890.00;;50;FING;"Emprendedor :";"Hugo Manzanilla, Victor";9781950604166
7206;2023-08-09;;FING;4404.00;;20;FING;"Resolviendo problemas con big data : ";;9786075384801
7198;2022-12-05;;FING;4100.00;;61;FING;"¡Denunciá! :";"Ahmed, Sara,";9789874862334
7199;2022-12-05;;FING;;;61;FING;"Introducción a la teoría feminista /";"Suárez Tomé, Danila";9789874813275
7200;2022-12-05;;FING;3200.00;;61;FING;"Fenomenología queer :";"Ahmed, Sara,";
7201;2022-12-05;;FING;3500.00;;61;FING;"Medicina de género :";"Glezerman, M.";9788417002107
7196;2022-11-28;;FING;;;89;FING;"Argentina en Internet :";;9789874872906
7197;2022-11-28;;FING;;;40;FING;"Epopeyas entrerrianas en pandemia :";;9789878472652
7193;2022-10-24;;FING;5817.00;;20;FING;"Ciencia de los datos :";"Jones, Herbert";9781647481445
7195;2022-10-24;;FING;3481.00;;36;FING;"Prácticas y procesos de taller de mecanizado /";"Carrasco Moreno, José";9788426726254
7192;2022-10-04;;FING;13890.00;;37;FING;"Bases de la ingeniería ambiental /";"Muñoz Andrés, Vicenta";9788436273625
7190;2022-10-03;;FING;12500.00;;20;FING;"Storytelling con datos /";"Knaflic, Cole Nussbaumer";9788441539303
7191;2022-10-03;;FING;10500.00;;81;FING;"Transporte ferroviario de mercancías /";;9788417903626
7188;2022-09-28;;FING;19900.00;;51;FING;"Artificial intelligence :";"Russell, Stuart";9781292401133
7189;2022-09-27;;FING;12500.00;;53;FING;"Python machine learning :";"Raschka, Sebastian";9781789955750
7187;2022-09-14;;FING;9400.00;;36;FING;"Elaboración de programas de CNC para la fabricación de piezas por corte y conformado /";"Reche Perea, Manuel";9788416629732
7185;2022-09-12;;FING;5000.00;;81;FING;"El vuelo : ";"Gómez, Roberto Julio";9789871759071
7186;2022-09-12;;FING;5000.00;;81;FING;"Aeródromos y aeropuertos :";"Gómez, Roberto Julio";9789876861519
7175;2022-09-01;;FING;4218.00;;20;FING;"Algorithms illuminated :";"Roughgarden, Tim";9780999282960
7176;2022-09-01;;FING;20080.00;;20;FING;"Data warehouse systems :";"Vaisman, Alejandro";9783662651667
7177;2022-09-01;;FING;9050.00;;81;FING;"Vías de comunicación :";"Crespo Villalaz, Carlos";9789681868581
7178;2022-09-01;;FING;19100.00;;42;FING;"Trends in development of medical devices / ";;9780128209608
7179;2022-09-01;;FING;19400.00;;50;FING;"Guía de los fundamentos para la dirección de proyectos :";;9781628251944
7180;2022-09-01;;FING;8494.00;;50;FING;"Guía práctica de Ágil";;9781628254143
7183;2022-09-01;;FING;7890.00;;31;FING;"Electrónica digital :";;"847897735X | 9788478977352 (ISBN 13)"
O934;2022-09-01;;FING;;;A2;FING;"Electrónica digital ";;
O936;2022-09-01;;FING;;;A2;FING;"Electrónica digital ";;
7161;2022-08-10;;FING;4409.00;;20;FING;"Algorithms illuminated :";"Roughgarden, Tim";9780999282908
7162;2022-08-10;;FING;4021.00;;20;FING;"Algorithms illuminated :";"Roughgarden, Tim";9780999282922
7163;2022-08-10;;FING;4450.00;;20;FING;"Algorithms illuminated :";"Roughgarden, Tim";9780999282946
7164;2022-08-10;;FING;7980.00;;20;FING;"Grokking algorithms :";"Bhargava, Aditya Y.";9781617292231
7166;2022-08-10;;FING;10616.00;;24;FING;"Hands-on blockchain for Python developers :";"Kok, Arjuna Sky";9781788627856
7167;2022-08-10;;FING;9560.00;;24;FING;"Unit testing :";"Khorikov, Vladimir";9781617296277
7168;2022-08-10;;FING;8190.00;;24;FING;"The Accidental Analist® :";"McDaniel, Eileen";9781477432266
7169;2022-08-10;;FING;17980.00;;45;FING;"Radiation physics for medical physicists /";"Podgoršak, E. B.";9783319797816
7170;2022-08-10;;FING;28650.00;;36;FING;"Packaging, technology and engineering :";"Sarker, Dipak K.";
7171;2022-08-10;;FING;7600.00;;AI2;FING;"RDA :";"Ríos Hilario, Ana Belén";9788418105210
7172;2022-08-10;;FING;8000.00;;54;FING;"Metodologías activas en el aula :";;9788417532505
7173;2022-08-10;;FING;8400.00;;54;FING;"Aprendizaje basado en competencias :";;9788427128330
7148;2022-08-03;;FING;18000.00;;30;FING;"Digital signal processing using MATLAB for students and researchers /";"Leis, John,";9780470880913
7149;2022-08-03;;FING;9680.00;;24;FING;"Data science from Scratch :";"Grus, Joel";9781492041139
7151;2022-08-03;;FING;13100.00;;24;FING;"Learning Python /";"Lutz, Mark";9781449355739
7152;2022-08-03;;FING;12135.00;;53;FING;"Hands-on machine learning with Scikit-Learn, Keras, and TensorFlow :";"Géron, Aurélien";9781492032649
7153;2022-08-03;;FING;28500.00;;81;FING;"Ingeniería ferroviaria /";"González Fernández, Francisco Javier";9788436260748
7154;2022-08-03;;FING;20780.00;;81;FING;"Infraestructuras ferroviarias /";"López Pita, Andrés";9788498804157
7155;2022-08-03;;FING;9900.00;;37;FING;"Evaluación ambiental estratégica :";"Gómez Orea, Domingo";9788484766766
7156;2022-08-03;;FING;11050.00;;37;FING;"Evaluación del impacto ambiental /";"Gómez Orea, Domingo";9788484766438
7157;2022-08-03;;FING;8497.00;;20;FING;"A common-sense guide to data structures and algorithms :";"Wengrow, Jay";9781680507228
7158;2022-08-03;;FING;6420.00;;48;FING;"Modelos estadísticos lineales :";"Téllez Piñerez, Cristian Fernando";9789587624762
7159;2022-08-03;;FING;24500.00;;43;FING;"RF/Microwave interaction with biological tissues /";"Vorst, A. vander";9780471732778
7160;2022-08-03;;FING;15400.00;;50;FING;"El estándar para la dirección de proyectos y guía de los fundamentos para la dirección de proyectos :";;9781628256796
7145;2022-04-27;;FING;;;22;FING;"Introduction to algorithms /";;9780262046305
7141;2022-04-11;;FING;;;24;FING;"El lenguaje unificado de modelado :";"Booch, Grady";9788478290765
7143;2022-04-11;;FING;;;24;FING;"Intro to Python® :";"Deitel, Paul J.";9780135404676
7139;2021-12-23;;FING;;;42;FING;"Electrotherapy of the heart :";"Schaldach, M.,";"3540553339 | 0387553339"
7125;2021-12-06;;FING;4953.00;;51;FING;"Minería de datos :";;9788491169031
7126;2021-12-06;;FING;7535.00;;51;FING;"Optimización de clustering en minería de datos :";"Bolívar Muñoz, Juan Alberto";9783659023538
7115;2021-10-05;;FING;2574.00;;81;FING;"Logística internacional :";"David, Pierre A.";9786075224930
7118;2021-10-05;;FING;3331.00;;81;FING;"Tecnología e ingeniería ferroviaria :";"Villaronte Fernández-Villa, Juan Antonio,";9788492954407
7113;2021-10-04;;FING;11500.00;;81;FING;"Movilidad urbana sostenible y acción administrativa :";;9788413098371
7114;2021-10-04;;FING;25500.00;;42;FING;"Medical instrument design and development :";"Becchetti, Claudio";9781119952404
7116;2021-10-04;;FING;28510.00;;5;FING;"Biología molecular de la célula / ";;9788428216388
7112;2021-10-01;;FING;4950.00;;38;FING;"Diseño de instalaciones hospitalarias :";;9788431331955
7111;2021-08-23;;FING;18500.00;;42;FING;"Biomedical devices :";"Lam, Raymond H. W.";9783030242367
7109;2021-08-19;;FING;7850.00;;2;FING;"Histología :";"Pawlina, Wojciech";9788417602659
7105;2021-08-12;;FING;15500.00;;35;FING;"Mecánica de fluidos :";"Çengel, Yunus A.";9781456260941
7107;2021-08-12;;FING;8700.00;;AI2;FING;"Crash couse in basic cataloging with RDA /";"Moulaison-Sandy, Heather";9781440837760
7103;2021-08-11;;FING;10900.00;;20;FING;"High performance MySQL /";"Schwartz, Baron";9781449314286
7104;2021-08-11;;FING;3840.00;;25;FING;"Circuitos eléctricos /";"Nilsson, James William";9788420544588
7101;2021-08-10;;FING;4800.00;;38;FING;"Seguridad en el medio hospitalario /";"Hernández Pozuelo, Agustín";9788413239804
7102;2021-08-10;;FING;5700.00;;20;FING;"Data warehouse business intelligence.";"Cardador Cabello, Antonio Luis";9788491986164
7099;2021-08-09;;FING;6500.00;;81;FING;"El transporte de mercancías :";"Anaya Tejero, Julio Juan";9788415986553
7100;2021-08-09;;FING;19500.00;;42;FING;"Biomedical devices :";;9781118478929
7095;2021-08-05;;FING;2442.00;;27;FING;"Circuitos eléctricos y aplicaciones digitales /";"Villaseñor Gómez, Jorge Raúl";9786073215152
7096;2021-08-05;;FING;2335.00;;24;FING;"Investigación operativa /";"Raffo Lecca, E.";9786123045050
7097;2021-08-05;;FING;8500.00;;81;FING;"Economía del transporte";"Rus Mendoza, Ginés de";849534808X
7098;2021-08-05;;FING;26500.00;;81;FING;"Railway management and engineering /";"Profillidis, V. A.";9780367027971
7092;2021-08-04;;FING;8450.00;;23;FING;"Theory of functions of a complex variable /";"Markushevich, A.";082183780X
7093;2021-08-04;;FING;23500.00;;38;FING;"Gestión hospitalaria /";"Temes Montes, José Luis";9788448178918
7094;2021-08-04;;FING;8500.00;;34;FING;"Mecánica vectorial para ingenieros :";"Beer, Ferdinand P.";9781456255275
7088;2021-08-02;;FING;5500.00;;81;FING;"Técnicas de mejora continua en el transporte /";"Tolosa, Lander";9786075382579
7089;2021-08-02;;FING;6300.00;;81;FING;"Droit de cité /";"Moreno, Carlos";9791032917053
7090;2021-08-02;;FING;11000.00;;38;FING;"Evidence-based maintenance of medical equipment :";"Binseng, Wang";9781696005401
7091;2021-08-02;;FING;8450.00;;23;FING;"Theory of functions of a complex variable /";"Markushevich, A.";082183780X
7086;2021-07-30;;FING;3202.00;;28;FING;"Control aplicado con variables de estado /";"Martínez Rodríguez, Jorge Luis";9788497328036
7087;2021-07-30;;FING;24500.00;;48;FING;"Statistical techniques for transportation engineering";"Molugaram, Kumar";9780128115558
7083;2021-07-29;;FING;3370.00;;52;FING;"Administración estratégica :";"Hill, Charles W. L.";9786075268064
7084;2021-07-29;;FING;3497.00;;50;FING;"Fundamentos de administración financiera /";"Brigham, Eugene F.,";9786075269368
7080;2021-07-28;;FING;3580.00;;12;FING;"Fisiología humana /";"Costanzo, Linda S.,";9788417370367
7081;2021-07-28;;FING;7680.00;;12;FING;"Fisiología médica :";;9788417033651
7082;2021-07-28;;FING;3230.00;;52;FING;"Administración de operaciones /";"Collier, David Allen";9786075268132
7078;2021-07-26;;FING;6665.00;;81;FING;"Derecho del transporte : ";"Losada, Francisco R.";9789877062144
7076;2021-07-08;;FING;6500.00;;38;FING;"Fake news, true facts and legends in clinical engineering :";"Binseng, Wang";9798665795478
7077;2021-07-08;;FING;3950.00;;49;FING;"Principios de economía /";"Mankiw, N. Gregory";9786075269481
7073;2021-07-07;;FING;2758.00;;48;FING;"Introducción a la probabilidad y estadística /";"Mendenhall, William";9786075198767
7074;2021-07-07;;FING;8300.00;;20;FING;"SQL :";"Oppel, Andrew J.";9780071842594
7075;2021-07-07;;FING;28500.00;;81;FING;"Traffic enginnering handbook /";;9781118762301
7071;2021-07-02;;FING;2530.00;;81;FING;"Derecho del transporte /";"Calleja, Martín";9789508947932
7065;2021-07-02;;FING;761.00;;38;FING;"Logística hospitalaria :";"Ozores Massó, Borja";9786077075691
7066;2021-07-02;;FING;4429.00;;36;FING;"Introducción a los procesos de manufactura /";"Groover, Mikell P.";9786071512086
7070;2021-07-01;;FING;2306.00;;51;FING;"Minería de datos :";"Pérez Marqués, María";9786076221747
7069;2021-06-30;;FING;2713.00;;38;FING;"Seguridad e higiene industrial :";;9789586828369
7059;2021-06-29;;FING;5800.00;;12;FING;"Fisiología médica :";;9788498359329
7058;2021-06-29;;FING;8500.00;;12;FING;"Fisiología humana :";"Silverthorn, Dee Unglaub";9786078546220
7063;2021-06-28;;FING;4490.00;;81;FING;"Transporte, operadores, redes /";"Mauleón Torres, Mikel";9788499696379
7064;2021-06-28;;FING;4441.00;;81;FING;"Ingeniería de tránsito :";"Cal y Mayor, Rafael";9786075382173
7051;2021-04-26;;FING;200.00;;59;FING;"Breve manual de lectura y escritura para la universidad /";"Clérici, Carolina";9789506984762
7050;2020-12-10;;FING;2584.00;;4;FING;"Anatomía humana :";"Latarjet, Michel";9789500695886
7048;2020-07-06;;FING;6480.00;6480.00;32;FING;"An analysis of the finite element method /";"Strang, Gilbert";9780980232707
7049;2020-07-06;;FING;8770.00;8770.00;32;FING;"Theory of modeling and simulation :";"Zeigler, Bernard P.";9780128133705
7046;2020-03-09;;FING;;;24;FING;"Programación orientada a objetos :";"Fontela, Carlos";9871104081
7047;2020-03-09;;FING;;;22;FING;"Programación orientada a objetos con C++ /";;9701509560
7044;2020-02-20;;FING;4615.00;;81;FING;"Railway transportation systems :";"Pyrgidis, Christos N.";9780367027971
7045;2020-02-20;;FING;2365.00;;28;FING;"Sistemas de regulación y control /";"Díaz Fernández-Raigoso, Aurelio José";9788426717344
7039;2020-02-19;;FING;3255.00;;17;FING;"Cálculo :";"Rogawski, Jon";9788429151947
7042;2020-02-19;;FING;2310.00;;51;FING;"Data mining =";"Daza Vergaray, Alfredo";9788426724588
7036;2020-02-14;;FING;6900.00;;32;FING;"Introduction to modeling and simulation with MATLAB® and Python /";"Gordon, Steven I.";9781498773874
7034;2020-02-13;;FING;1950.00;;52;FING;"Análisis de balances :";"Amat, Oriol";9788417209575
7035;2020-02-13;;FING;5900.00;;23;FING;"A MATLAB® companion to complex variables  /";"Wunsch, A. David";9781498755672
7031;2020-02-12;;FING;6900.00;;33;FING;"Termodinámica /";"Çengel, Yunus A.";9781456269784
7028;2020-02-10;;FING;;;20;FING;"Algoritmos, datos y programas :";;9879460642
